㐷	傌
㐹	㑶 㐹
㐽	偑
㑈	倲
㑔	㑯
㑩	儸
㑺	儁
㓆	𠗣
㓥	劏
㓰	劃
㔉	劚
㖊	噚
㖞	喎
㚯	㜄
㛀	媰
㛟	𡞵
㛠	𡢃
㛣	㜏
㛤	孋
㛿	𡠹
㝦	寯
㟆	㠏
㟜	𡾱
㟥	嵾
㡎	幓
㤖	懧
㤭	憍
㤽	懤
㥪	慺
㦈	𢣏
㧏	掆
㧛	擥
㧰	擽
㨫	㩜
㭏	椲
㭣	𣙎
㭤	樢
㭴	樫
㮠	𣞁
㱩	殰
㱮	殨
㲿	瀇
㳔	濧
㳕	灡
㳠	澾
㳡	濄
㳢	𣾷
㳽	瀰
㴋	潚
㶉	鸂
㶶	燶
㶽	煱
㷪	𤎱
㺍	獱
㻅	璯
㻏	𤫩
㻘	𤪺
㻪	㻽
㾡	𤷽
䀥	䁻
䂵	碽
䅉	稏
䅪	𥢢
䇚	𥵜
䇲	筴
䉤	籔
䌶	䊷
䌷	紬
䌸	縳
䌺	䋙
䌻	䋚
䌼	綐
䌽	綵
䌾	䋻
䌿	䋹
䍀	繿
䍁	繸
䍠	䍦
䎬	䎱
䐪	臇
䑽	𦪙
䓓	薵
䓕	薳
䖼	𧍕
䘛	𧝞
䘞	𧜗
䙊	𧜵
䙌	䙡
䙓	襬
䛓	譼
䜤	鿁
䜥	𧩙
䜧	䜀
䜩	讌
䞌	𧵳
䞍	䝼
䞎	𧶧
䞐	賰
䟢	躎
䢀	𨊰
䢁	𨊸
䢂	𨋢
䥺	釾
䥾	䥱
䥿	𨯅
䦀	𨦫
䦁	𨧜
䦂	䥇
䦅	鐥
䦆	钁
䦶	䦛
䦷	䦟
䩄	靦
䭪	𩞯
䯃	𩣑
䯄	騧
䯅	䯀
䲝	䱽
䲞	𩶘
䲡	鰌
䲣	䱷
䲤	鿐
伡	俥
侭	儘
傤	儎
刾	㓨
厐	龎
哜	嚌
唡	啢
啯	嘓
垅	壠
奨	奬
弪	弳
彨	彲
悮	悞
戯	戱
挙	𢸁
挜	掗
挢	撟
捝	挩
揾	搵
搄	揯
擜	㩵
敚	敓
桪	樳
椝	槼
椢	槶
椫	樿
椮	槮
毶	𣯶
泶	澩
涚	涗
渖	瀋
瑸	璸
痖	瘂
瞆	瞶
硵	磠
硷	礆
穞	穭
筿	篠
緼	縕
