㑳	㑇
㑺	俊
㒺	罔
㕁	却
㕑	厨
㕘	参
㕥	以
㘚	㘎
㘭	坳
㝛	宿
㝠	冥
㝡	最
㟁	岸
㠀	岛
㠣	𫵷
㠯	以
㠶	帆
㡌	帽
㢘	廉
㤙	恩
㥦	惬
㥫	惇
㥮	㤘
㧱	拿
㨗	捷
㨪	晃
㨿	据
㩗	携
㩦	携
㩳	㧐
㪚	散
㪟	敦
㬉	暖
㬪	叠
㮣	概
㯭	橹
㱃	饮
㳄	涎
㳒	法
㴱	深
㼝	碗
㽞	留
㿜	瘪
䃮	鿎
䈰	筲
䊀	糊
䓣	𬜯
䗬	蜂
䘏	恤
䘑	脉
䘚	卒
䛐	词
䛡	话
䝔	獾
䠀	蹚
䠶	射
䡵	𫟦
䥑	鿏
䥕	𬭯
䥥	镰
䬃	飒
䭾	驮
䮄	𫠊
䰟	魂
䰾	鲃
䲁	鳚
䲘	鳤
䳘	鹅
䴉	鹮
䴸	麸
䶊	衄
丟	丢
並	并
乗	乘
乹	干
乾	干 乾
亁	干
亂	乱
亙	亘
亝	斋
亞	亚
亯	享
亱	夜
亷	廉
亾	亡
仝	仝 同
佀	似
佇	伫
佈	布
佔	占
併	并
來	来
侖	仑
侶	侣
侷	局
俁	俣
係	系
俔	伣
俛	俯
俠	侠
俬	私
俻	备
倀	伥
倃	咱
倆	俩
倈	俫
倉	仓
個	个
倐	倏
們	们
倖	幸
倣	仿
倫	伦
倸	睬
偉	伟
偘	侃
偪	逼
側	侧
偵	侦
偺	咱
偽	伪
傌	骂
傑	杰
傖	伧
傘	伞
備	备
傚	效
傢	家
傭	佣
傯	偬
傳	传
傴	伛
債	债
傷	伤
傾	倾
僂	偻
僅	仅
僉	佥
僊	仙
働	动
僑	侨
僕	仆
僞	伪
僤	𫢸
僥	侥
僨	偾
僱	雇
價	价
儀	仪
儁	俊
儂	侬
億	亿
儈	侩
儉	俭
儌	侥
儐	傧
儔	俦
儕	侪
儗	拟
儘	尽
償	偿
優	优
儲	储
儵	倏
儷	俪
儺	傩
儻	傥
儼	俨
兇	凶
兌	兑
兎	兔
兒	儿
兗	兖
兠	兜
內	内
兩	两
冄	冉
冊	册
冐	冒
冑	胄
冣	最
冪	幂
冺	泯
凈	净
凍	冻
凜	凛
凢	凡
凱	凯
凴	凭
別	别
刦	劫
刧	劫
刪	删
刼	劫
剄	刭
則	则
剉	锉
剋	克 剋
剎	刹
剏	创
剗	刬
剙	创
剛	刚
剝	剥
剮	剐
剳	札
剴	剀
創	创
剷	铲
剹	戮
劃	划
劄	札 劄
劇	剧
劉	刘
劊	刽
劌	刿
劍	剑
劑	剂
劒	剑
劵	券
効	效
勁	劲
勅	敕
勌	倦
勑	敕
動	动
勗	勖
務	务
勛	勋
勝	胜
勞	劳
勢	势
勣	𪟝 绩
勦	剿
勩	勚
勱	劢
勳	勋
勵	励
勸	劝
勻	匀
匃	丐
匄	丐
匟	炕
匭	匦
匯	汇
匱	匮
匲	奁
匳	奁
區	区
協	协
卹	恤
卻	却
卽	即
厀	膝
厙	厍
厠	厕
厤	历
厭	厌
厲	厉
厴	厣
參	参
叄	叁
叚	叚 假
叡	睿
叢	丛
吒	吒 咤
吚	咿
吳	吴
吶	呐
呂	吕
呌	叫
呪	咒
咊	和
咲	笑
咼	呙
員	员
哶	咩
唄	呗
唕	唣
唘	启
唫	吟
唸	念
啎	忤
問	问
啑	喋
啓	启
啗	啖
啞	哑
啟	启
啣	衔
喆	喆 哲
喒	咱
喚	唤
喪	丧
喫	吃
喬	乔
單	单
喲	哟
嗁	啼
嗆	呛
嗇	啬
嗊	唝
嗎	吗
嗚	呜
嗩	唢
嗶	哔
嘅	慨
嘆	叹
嘍	喽
嘑	呼
嘔	呕
嘖	啧
嘗	尝
嘜	唛
嘠	嘎
嘩	哗
嘮	唠
嘯	啸
嘰	叽
嘵	哓
嘷	嗥
嘸	呒
嘽	啴
噁	恶 𫫇
噉	啖
噓	嘘
